EventDate,EventName,Quantity,Price,Merchandise_Sales,Concession_Sales
2019-02-13 19:30:00,Thelma & Louise,24,216.75,0.0,103.25
2019-02-14 16:00:00,Burning,19,158.75,0.0,35.75
2019-02-14 19:30:00,Casablanca,190,1702.0,0.0,577.75
2019-02-15 16:00:00,The Oscar Nominated Short Films 2019: Documentary,20,165.25,0.0,54.5
2019-02-15 19:00:00,Capernaum,36,317.75,0.0,78.5
2019-02-15 21:30:00,Audition,21,152.0,0.0,89.75
2019-02-16 11:30:00,2019 Oscar Nominated Short Films: Animation,52,413.5,0.0,100.75
2019-02-16 13:30:00,The Oscar Nominated Short Films 2019: Documentary,44,354.0,0.0,97.25
2019-02-16 16:30:00,The Oscar Nominated Short Films 2019: Live Action,52,418.5,0.0,126.75
2019-02-16 19:00:00,Capernaum,49,423.5,10.0,110.75
2019-02-16 21:30:00,Audition,20,136.0,0.0,56.75
2019-02-17 11:30:00,2019 Oscar Nominated Short Films: Animation,60,486.75,0.0,103.5
2019-02-17 13:30:00,The Oscar Nominated Short Films 2019: Live Action,41,335.0,0.0,115.5
2019-02-17 16:00:00,Capernaum,46,382.25,0.0,81.0
2019-02-17 19:00:00,Oscar Trivia Night,18,126.0,0.0,129.0
2019-02-18 16:00:00,Capernaum,7,60.5,0.0,14.5
2019-02-18 19:00:00,2019 Oscar Nominated Short Films: Animation,68,606.25,20.0,175.5
2019-02-19 16:00:00,Capernaum,12,91.0,0.0,174.5
2019-02-20 16:00:00,The Oscar Nominated Short Films 2019: Documentary,11,89.5,0.0,22.75
2019-02-20 19:30:00,Capernaum,25,209.0,0.0,49.5
2019-02-21 16:30:00,The Oscar Nominated Short Films 2019: Documentary,18,118.5,0.0,44.25
2019-02-21 19:30:00,Capernaum,27,217.75,0.0,59.75
2019-02-21 22:00:00,Audition,27,200.0,0.0,94.25
2019-02-22 17:00:00,Cold War,24,181.25,0.0,98.5
2019-02-22 19:30:00,Cold War,59,527.0,0.0,195.5
2019-02-22 21:30:00,Candyman,19,128.0,0.0,125.0
2019-02-23 14:30:00,Cold War,33,279.75,0.0,132.25
2019-02-23 17:00:00,Cold War,19,146.25,0.0,70.5
2019-02-23 19:30:00,Cold War,50,462.75,0.0,192.0
2019-02-23 21:30:00,Candyman,10,80.0,10.0,33.25
2019-02-24 12:00:00,Cold War,12,99.75,0.0,31.5
2019-02-24 14:30:00,Cold War,23,193.0,0.0,95.5
